Unnamed: 0,n_pets,labels,thresholds,coords,x_min,x_max,y_min,y_max,pet_ratio
10,1,['cat'],[0.89550924],"[(330.9544, 71.473694, 995.721, 1249.7158)]",330.9544067,995.7210083,71.47369385,1249.71582,0.478131104
11,1,['dog'],[0.8741976],"[(97.93882, 86.35542, 331.68195, 583.67523)]",97.93881989,331.6819458,86.35542297,583.6752319,0.39882716
12,1,['cat'],[0.93261063],"[(126.44497, 293.3425, 510.51974, 713.51514)]",126.4449692,510.5197449,293.3424988,713.5151367,0.311111111
13,1,['dog'],[0.87185866],"[(178.37247, 175.40707, 535.66986, 833.20807)]",178.372467,535.6698608,175.407074,833.2080688,0.339852431
14,1,['cat'],[0.92011],"[(2.4779935, 73.68895, 581.0, 569.3642)]",2.477993488,580,73.68894958,569.3641968,0.77475329
15,1,['dog'],[0.9446648],"[(35.41667, 44.63997, 716.4291, 742.2814)]",35.41667175,716.4290771,44.63996887,742.2813721,0.687699653
16,1,['cat'],[0.9365046],"[(111.00598, 316.24292, 926.9391, 709.9286)]",111.0059814,926.9390869,316.2429199,709.9285889,0.260656738
17,9,"['dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog']","[0.9174335, 0.91619045, 0.8801213, 0.8424106, 0.8392721, 0.8090825, 0.7096816, 0.5751589, 0.50857043]","[(82.228, 417.03006, 236.64632, 646.52826), (371.29553, 39.27167, 559.258, 237.63371), (498.31342, 206.86296, 647.3247, 442.78427), (198.93819, 189.81361, 478.2776, 548.6934), (96.247154, 38.230698, 238.11433, 237.94647), (0.33494568, 224.62476, 152.9916, 460.7877), (361.56552, 421.38315, 646.7887, 644.6382), (0.5515866, 39.576588, 239.64767, 478.15277), (247.42769, 311.55075, 387.79578, 550.39954)]",498.3134155,152.9915924,421.3831482,237.6337128,0.782631614
18,2,"['dog', 'dog']","[0.92042345, 0.8911492]","[(1.2278366, 362.21063, 527.32654, 826.4011), (209.95927, 171.84674, 411.40997, 451.46786)]",209.9592743,411.4099731,362.2106323,451.467865,0.55761916
19,1,['dog'],[0.92844856],"[(292.1534, 283.96005, 551.5872, 600.84906)]",292.1534119,551.5872192,283.9600525,600.8490601,0.118783275
20,4,"['dog', 'dog', 'dog', 'dog']","[0.94188714, 0.9173661, 0.90825725, 0.9040285]","[(43.480484, 12.960783, 286.4907, 535.5335), (402.21457, 30.453918, 523.50476, 188.03976), (421.4919, 375.89624, 537.115, 551.86475), (406.69562, 195.36069, 483.3367, 369.43787)]",421.4919128,286.4906921,375.8962402,188.0397644,0.588069463
21,4,"['cat', 'dog', 'dog', 'cat']","[0.7657123, 0.55571616, 0.48071307, 0.2635354]","[(362.64743, 0.0, 1121.1046, 565.50244), (356.23245, 0.0, 1098.9122, 573.06433), (2.4110413, 1.3348694, 557.2594, 382.54175), (2.3833008, 1.1684418, 558.6219, 384.8214)]",362.6474304,557.2593994,1.334869385,382.541748,0.622550998
22,1,['cat'],[0.8710811],"[(1.6586609, 0.5185547, 823.15814, 580.7891)]",1.658660889,823.1581421,0.518554688,580.7891235,0.689756944
23,1,['dog'],[0.9294072],"[(1.9475098, 85.43889, 720.0, 951.76373)]",1.947509766,719,85.43888855,951.7637329,0.90083044
24,1,['dog'],[0.92449945],"[(1.061142, 30.583282, 956.29816, 942.1095)]",1.061141968,956.2981567,30.58328247,942.1094971,0.945052083
25,1,['dog'],[0.93316144],"[(176.3204, 288.81464, 598.51324, 853.62286)]",176.3204041,598.5132446,288.8146362,853.6228638,0.34495081
26,3,"['cat', 'cat', 'cat']","[0.8821481, 0.82556206, 0.49692476]","[(146.83672, 391.66992, 464.855, 789.26605), (0.0, 84.08082, 316.30197, 523.89905), (0.0, 78.491646, 241.842, 325.81955)]",146.8367157,241.8419952,391.6699219,325.8195496,0.544909886
27,2,"['cat', 'cat']","[0.92430145, 0.69575995]","[(503.3224, 239.0108, 750.22437, 709.105), (818.13684, 403.4063, 1277.6554, 847.6473)]",818.1368408,750.2243652,403.406311,709.1049805,0.292978825
28,1,['cat'],[0.92814904],"[(297.26468, 199.22467, 719.39246, 636.56726)]",297.264679,719,199.2246704,636.5672607,0.266802662
29,1,['dog'],[0.9489389],"[(55.788094, 103.48837, 453.9582, 678.4898)]",55.78809357,453.9581909,103.4883728,678.4898071,0.441454475
30,1,['dog'],[0.94143087],"[(228.04958, 50.21141, 824.15717, 875.80225)]",228.0495758,824.1571655,50.21141052,875.8022461,0.533528646
31,1,['dog'],[0.9294574],"[(0.041999817, 111.68303, 602.1519, 958.6287)]",0.041999817,602.1519165,111.6830292,958.6287231,0.737693866
32,2,"['cat', 'cat']","[0.923572, 0.914283]","[(640.8334, 108.831635, 1122.5256, 746.95795), (110.029915, 171.1053, 696.4026, 796.19507)]",640.833374,696.4025879,171.1053009,746.9579468,0.550115843
33,2,"['cat', 'cat']","[0.93215746, 0.90599954]","[(6.31398, 88.20557, 457.98862, 917.7213), (419.30374, 35.55858, 816.3465, 929.80334)]",419.3037415,457.9886169,88.20556641,917.7213135,0.877233041
34,1,['dog'],[0.94249177],"[(4.2640777, 34.993008, 453.67294, 813.5992)]",4.264077663,453.6729431,34.99300766,813.5991821,0.923795111
35,1,['cat'],[0.75022113],"[(2.910118, 101.391106, 538.37274, 739.35864)]",2.910118103,538.3727417,101.3911057,739.3586426,0.659660494
36,3,"['dog', 'dog', 'dog']","[0.88327205, 0.8722439, 0.8603168]","[(208.13022, 237.82068, 553.3684, 771.9848), (0.19585419, 377.46912, 300.26944, 957.2452), (452.61963, 128.5041, 718.9718, 958.4145)]",452.6196289,300.2694397,377.4691162,771.9848022,0.707216435
37,1,['cat'],[0.93884367],"[(183.84288, 185.00873, 720.0, 555.54956)]",183.8428802,719,185.008728,555.5495605,0.287456597
38,4,"['cat', 'cat', 'cat', 'cat']","[0.8607215, 0.38575846, 0.35009885, 0.32013038]","[(179.09093, 83.441574, 679.36096, 949.98395), (206.76276, 802.45184, 550.5493, 959.65155), (537.3548, 597.3144, 682.0, 956.2511), (206.2155, 600.5899, 679.8211, 955.91016)]",537.3547974,550.5493164,802.4518433,949.9839478,0.669629765
39,1,['cat'],[0.90456855],"[(488.0611, 24.260773, 835.3537, 817.4387)]",488.0610962,835.3536987,24.26077271,817.4387207,0.252914522
40,1,['cat'],[0.9318999],"[(48.574287, 358.07547, 611.62006, 824.803)]",48.57428741,611.6200562,358.07547,824.8029785,0.379568866
41,1,['dog'],[0.9366164],"[(144.75835, 179.42921, 571.015, 711.4109)]",144.7583466,571.0150146,179.4292145,711.4108887,0.32865162
42,1,['cat'],[0.83380246],"[(26.279846, 0.13104248, 1278.0557, 1199.073)]",26.27984619,1278.055664,0.13104248,1199.072998,0.916228027
43,1,['cat'],[0.8228231],"[(204.62402, 0.0, 1266.1455, 1263.802)]",204.6240234,1266.145508,0,1263.802002,0.818668213
44,1,['cat'],[0.8991691],"[(199.49153, 0.81829834, 636.30176, 762.3623)]",199.4915314,636.3017578,0.81829834,762.3623047,0.470011856
45,1,['cat'],[0.86206347],"[(6.5558853, 16.454773, 654.6942, 953.4807)]",6.555885315,654.6942139,16.45477295,953.4807129,0.8784375
46,1,['cat'],[0.80777115],"[(0.2399826, 67.61046, 708.2247, 951.0231)]",0.239982605,708.2246704,67.61045837,951.0230713,0.905486111
47,1,['cat'],[0.9134327],"[(156.98503, 133.46326, 589.2995, 819.19965)]",156.9850311,589.2994995,133.4632568,819.199646,0.429742477
48,1,['cat'],[0.8641526],"[(93.39162, 11.857658, 386.1058, 434.70834)]",93.39161682,386.1058044,11.85765839,434.7083435,0.497906958
49,1,['dog'],[0.9050948],"[(5.6316833, 173.89238, 719.9271, 948.4594)]",5.63168335,719,173.8923798,948.4594116,0.800564236
50,2,"['dog', 'dog']","[0.9413207, 0.9396112]","[(1.9084854, 407.2739, 411.2656, 763.9629), (307.17746, 60.84739, 615.08264, 604.678)]",307.1774597,411.2655945,407.2738953,604.6779785,0.423935185
51,1,['cat'],[0.8963611],"[(119.8538, 166.86198, 616.2025, 708.8079)]",119.8537979,616.2025146,166.8619843,708.8079224,0.519625772
52,1,['dog'],[0.94112897],"[(176.14825, 39.6308, 797.1757, 856.3145)]",176.1482544,797.1757202,39.63079834,856.3145142,0.550517578
53,1,['cat'],[0.9253963],"[(2.4222412, 36.08844, 1157.2472, 953.01324)]",2.422241211,1157.247192,36.08843994,953.0132446,0.86192627
54,1,['dog'],[0.9448174],"[(17.083511, 353.66745, 378.48813, 771.2653)]",17.08351135,378.4881287,353.66745,771.2653198,0.291387634
55,1,['cat'],[0.88341784],"[(113.97949, 262.2078, 649.64874, 593.7066)]",113.9794922,649.6487427,262.2077942,593.706604,0.256678241
56,9,"['cat', 'cat', 'cat', 'cat', 'cat', 'cat', 'cat', 'cat', 'cat']","[0.9194452, 0.90704244, 0.8873481, 0.87082237, 0.86277926, 0.86166036, 0.859399, 0.8572581, 0.4055565]","[(643.53345, 155.82103, 1166.6149, 497.4959), (102.11211, 105.92059, 597.9236, 634.86945), (596.09814, 715.62506, 786.72437, 1146.8336), (1051.1803, 652.17395, 1244.5778, 767.03284), (6.704788, 742.1454, 265.19318, 1271.427), (852.0602, 1010.33496, 1179.854, 1203.5396), (921.0061, 837.7039, 1164.894, 1029.6769), (1028.3549, 759.42865, 1202.3456, 892.6247), (204.49164, 795.1125, 425.32025, 1270.3301)]",1051.180298,265.1931763,1010.334961,497.4959106,0.535535278
57,1,['cat'],[0.8906046],"[(2.3236256, 276.59573, 309.36002, 719.53735)]",2.323625565,309.3600159,276.5957336,719,0.466395748
58,2,"['cat', 'dog']","[0.73092115, 0.455228]","[(315.84686, 0.0, 802.80804, 535.1274), (310.70428, 0.0, 800.52155, 539.0817)]",315.8468628,800.5215454,0,535.1273804,0.511535494
59,1,['cat'],[0.8482384],"[(110.31857, 72.80919, 608.5436, 928.8545)]",110.318573,608.5435791,72.80918884,928.8544922,0.616736111
60,1,['dog'],[0.90455234],"[(144.6689, 193.34738, 244.88226, 346.06125)]",144.6688995,244.8822632,193.3473816,346.0612488,0.066222299
61,1,['cat'],[0.7995735],"[(0.0, 9.021149, 709.92285, 943.3237)]",0,709.9228516,9.021148682,943.3237305,0.958052662
62,1,['dog'],[0.8976422],"[(1.5836105, 202.30833, 318.28104, 834.52313)]",1.583610535,318.2810364,202.3083344,834.5231323,0.483082562
63,1,['dog'],[0.9421054],"[(0.09198761, 279.2692, 399.80988, 751.1643)]",0.09198761,399.8098755,279.2691956,751.1643066,0.363287037
64,1,['dog'],[0.9451962],"[(6.4360046, 23.901966, 788.74854, 520.6014)]",6.436004639,788.7485352,23.90196609,520.6013794,0.923607414
65,1,['cat'],[0.880103],"[(2.7841797, 1.0443726, 1274.7412, 1260.117)]",2.784179688,1274.741211,1.044372559,1260.116943,0.977446289
66,2,"['cat', 'cat']","[0.9319741, 0.8864415]","[(31.331604, 94.961365, 1277.8276, 1153.3564), (0.9566345, 482.02087, 327.84888, 872.1714)]",31.331604,327.848877,482.020874,872.1713867,0.88462213
67,1,['dog'],[0.86054635],"[(0.63853985, 18.923067, 199.34702, 215.42276)]",0.638539851,199.3470154,18.92306709,215.42276,0.889945745
68,0,[],[],[],0,959,0,719,0
69,1,['cat'],[0.9157413],"[(68.629074, 300.421, 359.7947, 818.98975)]",68.6290741,359.7947083,300.42099,818.9897461,0.336228587
70,1,['dog'],[0.92155045],"[(223.77136, 207.42542, 485.404, 929.97974)]",223.7713623,485.4039917,207.425415,929.9797363,0.273674769
71,1,['cat'],[0.91351074],"[(95.168884, 66.47574, 1115.9985, 855.9581)]",95.16888428,1115.998535,66.47573853,855.9581299,0.731086483
72,1,['dog'],[0.8029721],"[(90.223434, 32.840424, 785.9987, 943.69965)]",90.22343445,785.9987183,32.84042358,943.699646,0.79365348
73,1,['cat'],[0.93057835],"[(17.205763, 36.13176, 747.3775, 389.0787)]",17.20576286,747.3775024,36.13175964,389.0787048,0.869839662
74,1,['cat'],[0.822656],"[(2.0095596, 148.64873, 542.0422, 944.77094)]",2.009559631,542.0421753,148.6487274,944.7709351,0.621875
75,1,['cat'],[0.9388482],"[(3.666063, 0.0, 492.66382, 300.12128)]",3.66606307,492.6638184,0,300.1212769,0.974161802
76,3,"['dog', 'dog', 'dog']","[0.8964867, 0.74939805, 0.6949514]","[(54.94458, 96.99861, 1176.3616, 470.52106), (509.52646, 0.58395386, 907.70325, 152.10715), (0.77645874, 3.3561249, 175.0509, 183.57121)]",509.5264587,175.0509033,96.99861145,152.1071472,0.676436765
77,4,"['dog', 'dog', 'dog', 'dog']","[0.7028857, 0.64470404, 0.6292587, 0.4013506]","[(43.63273, 68.51212, 461.37506, 420.7535), (488.76392, 143.09683, 941.04803, 938.6712), (22.811142, 50.40358, 469.7799, 934.6743), (575.5435, 142.16333, 937.063, 579.5189)]",575.5435181,461.375061,143.0968323,420.7535095,0.8199273
78,1,['cat'],[0.92823684],"[(97.9549, 172.86012, 557.7382, 740.5221)]",97.95490265,557.7382202,172.8601227,740.5220947,0.378009259
79,1,['dog'],[0.89467496],"[(217.79373, 0.0, 1033.4729, 838.1634)]",217.7937317,1033.4729,0,838.1633911,0.626289566
80,1,['cat'],[0.93166536],"[(42.171833, 1.3372539, 894.58124, 750.2323)]",42.17183304,894.5812378,1.337253928,750.2322998,0.67554624
81,1,['cat'],[0.86499304],"[(275.07404, 0.0, 835.2464, 802.1922)]",275.0740356,835.2463989,0,802.1921997,0.514031955
82,1,['dog'],[0.9482219],"[(37.234657, 0.0, 718.4945, 901.20337)]",37.23465729,718.4945068,0,901.2033691,0.887703993
83,1,['dog'],[0.94677866],"[(79.04805, 256.57196, 510.6895, 824.7124)]",79.04804993,510.6895142,256.5719604,824.7124023,0.354178241
84,1,['dog'],[0.8805989],"[(7.7787094, 179.2051, 431.91312, 746.6762)]",7.778709412,431.9131165,179.2050934,746.6762085,0.46375
85,1,['dog'],[0.93261486],"[(226.6225, 119.83555, 493.51703, 519.42334)]",226.6224976,493.5170288,119.8355484,519.4233398,0.154513889
86,1,['dog'],[0.9262912],"[(396.42194, 0.0, 887.7271, 714.9435)]",396.421936,887.7271118,0,714.9434814,0.380397135
87,2,"['cat', 'cat']","[0.91800284, 0.91675764]","[(185.72507, 142.992, 729.29114, 754.274), (489.07544, 284.29868, 1191.216, 802.23157)]",489.0754395,729.2911377,284.2986755,754.2739868,0.475068359
88,2,"['cat', 'cat']","[0.858515, 0.4218621]","[(240.55777, 265.09207, 1108.1096, 869.14185), (0.0, 0.0, 1280.0, 712.79236)]",240.5577698,1108.109619,265.0920715,712.7923584,0.63942627
89,1,['dog'],[0.88652134],"[(158.45947, 0.33909988, 719.1529, 372.3432)]",158.4594727,719,0.339099884,372.3432007,0.715679012
90,1,['cat'],[0.8963496],"[(29.489256, 53.00647, 504.24612, 858.58563)]",29.48925591,504.2461243,53.00646973,858.5856323,0.744499611
91,1,['dog'],[0.7669373],"[(235.76337, 62.00807, 717.59094, 871.1279)]",235.7633667,717.5909424,62.0080719,871.1279297,0.564146412
92,2,"['cat', 'cat']","[0.77445656, 0.765673]","[(1.5635834, 166.80713, 547.16046, 680.32513), (2.6531067, 471.32364, 618.4596, 924.0669)]",2.653106689,547.1604614,471.3236389,680.3251343,0.64494647
93,2,"['dog', 'dog']","[0.93647647, 0.8163445]","[(189.56744, 171.97395, 513.27136, 783.1782), (402.25217, 0.6410637, 616.142, 95.794106)]",402.2521667,513.2713623,171.9739532,95.79410553,0.316287616
94,1,['dog'],[0.9120638],"[(82.034035, 129.69858, 403.42545, 716.537)]",82.03403473,403.4254456,129.6985779,716.5369873,0.646183128
95,1,['cat'],[0.88193727],"[(290.47345, 1.1634521, 1201.2593, 944.0316)]",290.4734497,1201.259277,1.163452148,944.0316162,0.701306981
96,2,"['dog', 'cat']","[0.7962481, 0.31577033]","[(5.2599564, 121.020836, 497.83154, 882.3263), (3.7844696, 106.94115, 498.93704, 878.24066)]",5.25995636,497.831543,121.0208359,878.2406616,0.555711806
97,1,['cat'],[0.891805],"[(121.12303, 0.0, 692.9805, 745.99854)]",121.1230316,692.9805298,0,745.9985352,0.615444155
98,1,['cat'],[0.92441475],"[(37.806194, 97.24656, 620.04474, 772.2152)]",37.80619431,620.0447388,97.24655914,772,0.818469403
99,2,"['cat', 'dog']","[0.87268496, 0.5354969]","[(0.0, 165.09393, 556.2698, 776.65485), (1.643486, 164.75162, 557.57214, 775.06445)]",1.643486023,556.2697754,165.0939331,775.0644531,0.49317419
100,2,"['dog', 'dog']","[0.9339679, 0.6188274]","[(3.376007, 149.85191, 355.70923, 583.8983), (1.4956207, 0.43497467, 223.80083, 243.18665)]",3.37600708,223.800827,149.8519135,243.1866455,0.807439236
101,1,['cat'],[0.8530299],"[(78.182434, 44.076263, 1242.6299, 637.19885)]",78.18243408,1242.629883,44.07626343,637.1988525,0.7219001
102,1,['dog'],[0.93786824],"[(88.30502, 257.03732, 458.1724, 945.9578)]",88.30502319,458.1723938,257.037323,945.9578247,0.491049383
103,1,['dog'],[0.9388145],"[(1.4030685, 287.45703, 696.2564, 876.0011)]",1.403068542,696.2564087,287.4570313,876.0010986,0.592238137
104,1,['cat'],[0.92274076],"[(32.5744, 137.20473, 886.23083, 869.1777)]",32.57440186,886.230835,137.2047272,869.1776733,0.681858639
105,1,['cat'],[0.8881555],"[(3.326912, 130.4609, 456.84146, 739.72235)]",3.326911926,456.8414612,130.460907,739.7223511,0.532170139
106,1,['cat'],[0.923472],"[(21.702026, 236.26369, 453.52222, 545.14233)]",21.70202637,453.5222168,236.2636871,545.142334,0.2896875
107,1,['dog'],[0.9098055],"[(45.951447, 8.118124, 506.57532, 595.4856)]",45.95144653,506.5753174,8.118124008,595.4855957,0.751686111
108,1,['cat'],[0.90876704],"[(3.23938, 0.0, 1276.3702, 712.86426)]",3.239379883,1276.370239,0,712.8642578,0.983480903
109,1,['dog'],[0.93691427],"[(109.993324, 57.90652, 707.0523, 668.4159)]",109.9933243,707.0523071,57.90652084,668.4158936,0.675625
110,7,"['dog', 'dog', 'dog', 'dog', 'cat', 'dog', 'dog']","[0.8921291, 0.8920042, 0.7716533, 0.50638396, 0.45855746, 0.44644636, 0.38766658]","[(246.31186, 560.9272, 473.1414, 704.6015), (288.7152, 384.81073, 582.6443, 593.17633), (587.6698, 326.00162, 689.845, 440.06937), (936.1956, 416.0923, 1035.0125, 493.69952), (498.0392, 537.0774, 592.15265, 632.84375), (494.78812, 537.259, 593.6093, 632.38776), (790.6434, 322.99045, 859.70416, 373.23172)]",936.1956177,473.1413879,560.9271851,373.23172,0.093811849
111,1,['dog'],[0.8945156],"[(7.3810625, 124.52556, 535.0127, 693.43115)]",7.381062508,535.0126953,124.5255585,693.4311523,0.580141351
112,5,"['cat', 'cat', 'cat', 'cat', 'cat']","[0.8834127, 0.87305325, 0.87111324, 0.8076725, 0.80326295]","[(9.639175, 28.389832, 419.9505, 577.83923), (643.994, 638.8211, 1216.9908, 1265.9348), (431.90433, 39.273438, 827.0576, 595.20264), (862.8796, 54.726944, 1272.3481, 555.1778), (25.800018, 657.95447, 526.4569, 1246.8578)]",862.8795776,419.9505005,657.9544678,555.1777954,0.796530762
113,1,['cat'],[0.92677516],"[(0.0, 50.84732, 1279.4607, 841.0963)]",0,1279,50.84732056,841.0963135,0.823314616
114,1,['cat'],[0.9083087],"[(63.69317, 42.717636, 536.4342, 921.7152)]",63.69316864,536.4342041,42.71763611,921.71521,0.802019676
115,1,['cat'],[0.90146405],"[(43.731804, 10.690423, 775.12964, 652.39056)]",43.73180389,775.1296387,10.69042301,652.390564,0.890480576
116,1,['dog'],[0.8887025],"[(61.495308, 136.95186, 446.48657, 783.39624)]",61.49530792,446.4865723,136.9518585,783.3962402,0.360380498
117,1,['dog'],[0.89710814],"[(59.54382, 54.120102, 521.9989, 454.05142)]",59.54381943,521.9989014,54.12010193,454.0514221,0.67047619
118,1,['cat'],[0.7824463],"[(226.1466, 230.30307, 717.579, 958.8732)]",226.1466064,717.5789795,230.3030701,958.87323,0.517141204
119,1,['cat'],[0.88951474],"[(2.8264618, 162.68756, 627.4826, 951.1321)]",2.826461792,627.482605,162.687561,951.1320801,0.71343316
120,3,"['cat', 'cat', 'cat']","[0.8921123, 0.6831655, 0.27902368]","[(0.31871796, 85.07318, 534.3476, 947.8772), (320.92523, 356.22437, 539.3466, 560.68933), (319.77368, 355.03287, 539.4973, 815.6333)]",320.9252319,534.3475952,356.2243652,560.6893311,0.892376543
121,1,['cat'],[0.9376057],"[(162.43987, 188.71744, 617.9842, 841.39343)]",162.4398651,617.9841919,188.7174377,841.3934326,0.491261574
122,2,"['cat', 'cat']","[0.85405356, 0.55910075]","[(207.8773, 71.58829, 568.46814, 823.95685), (515.6683, 431.0657, 719.16125, 922.09796)]",515.6682739,568.4681396,431.0657043,823.9568481,0.507609954
123,1,['dog'],[0.9296412],"[(31.093208, 244.8329, 531.3379, 959.8601)]",31.09320831,531.3378906,244.832901,959,0.689621914
124,2,"['cat', 'cat']","[0.8952765, 0.38255498]","[(93.96688, 98.695145, 376.59195, 444.3449), (221.54088, 3.1380901, 405.0, 446.19455)]",221.5408783,376.5919495,98.69514465,444.3449097,0.431412894
125,1,['cat'],[0.9008885],"[(3.881693, 0.0, 568.66876, 572.9052)]",3.881692886,568.6687622,0,572.9052124,0.369433013
126,2,"['cat', 'cat']","[0.9320141, 0.92740786]","[(275.80466, 197.37537, 866.328, 1224.0728), (682.05853, 116.96756, 1119.1711, 884.45557)]",682.0585327,866.3280029,197.3753662,884.4555664,0.498147583
127,2,"['cat', 'cat']","[0.8893875, 0.27048433]","[(198.64862, 152.21385, 603.1981, 841.39215), (7.253128, 0.4958725, 720.0, 622.20374)]",198.6486206,603.1981201,152.2138519,622.2037354,0.769937789
128,1,['dog'],[0.9205785],"[(57.692963, 62.274994, 839.6681, 953.5494)]",57.69296265,839.6680908,62.2749939,953.5493774,0.756035156
129,1,['cat'],[0.8722383],"[(210.88052, 388.35498, 638.5935, 770.4721)]",210.8805237,638.5935059,388.3549805,770.4721069,0.236539352
130,1,['cat'],[0.9284074],"[(0.62166595, 109.50586, 676.65643, 960.0)]",0.621665955,676.6564331,109.5058594,959,0.83228588
131,1,['dog'],[0.9397448],"[(220.56259, 0.06472778, 713.7711, 942.4061)]",220.5625916,713.7711182,0.064727783,942.4061279,0.525822011
132,1,['cat'],[0.90500045],"[(439.67615, 169.8092, 831.3335, 844.03845)]",439.6761475,831.3334961,169.8092041,844.0384521,0.2423432
133,3,"['cat', 'cat', 'cat']","[0.9392912, 0.9318877, 0.9242449]","[(378.82663, 589.2332, 831.3955, 913.98486), (84.18872, 512.3068, 376.3723, 925.45807), (232.24553, 40.20822, 631.9761, 460.6717)]",378.8266296,376.3723145,589.2332153,460.6716919,0.471948785
134,1,['dog'],[0.9036831],"[(134.61865, 79.67276, 839.89056, 953.65247)]",134.6186523,839.890564,79.67276001,953.6524658,0.66858724
135,2,"['dog', 'dog']","[0.92348605, 0.920291]","[(578.40674, 124.17462, 918.5278, 820.0126), (11.786385, 333.32855, 361.2075, 731.989)]",578.4067383,361.207489,333.3285522,731.9890137,0.407921007
136,2,"['dog', 'dog']","[0.87205964, 0.78023475]","[(183.87032, 258.42563, 719.00793, 863.77936), (0.04528427, 324.9462, 289.64468, 816.68207)]",183.8703156,289.6446838,324.9461975,816.6820679,0.599415509
137,1,['cat'],[0.91532916],"[(391.85977, 0.0, 776.1831, 548.7507)]",391.8597717,776.1831055,0,548.7506714,0.171695964
138,1,['dog'],[0.72502387],"[(188.92941, 155.1117, 1045.4952, 1253.9995)]",188.9294128,1045.495239,155.1116943,1253.999512,0.574332275
139,1,['cat'],[0.9068887],"[(13.832466, 234.04893, 648.9202, 866.3432)]",13.83246613,648.9202271,234.0489349,866.3432007,0.571876425
140,2,"['dog', 'dog']","[0.933447, 0.2802351]","[(564.22565, 146.61316, 1076.9807, 742.35345), (690.63873, 441.26205, 764.3869, 523.95514)]",690.6387329,764.3869019,441.2620544,523.9551392,0.248333333
141,1,['cat'],[0.9278792],"[(19.92154, 186.3956, 789.2979, 809.4324)]",19.92153931,789.2979126,186.3955994,809.432373,0.589962121
142,1,['dog'],[0.93598515],"[(148.1571, 56.913643, 731.92126, 898.82776)]",148.1571045,731.9212646,56.91364288,898.8277588,0.532091138
143,1,['dog'],[0.93886065],"[(68.163795, 29.667618, 401.06613, 766.9988)]",68.16379547,401.0661316,29.6676178,766.9987793,0.646423115
144,2,"['cat', 'cat']","[0.69583905, 0.684338]","[(125.09222, 455.32187, 371.85022, 691.8606), (1.0661173, 453.76547, 375.17322, 819.3005)]",125.0922165,371.8502197,455.3218689,691.8605957,0.292787474
145,1,['cat'],[0.9203273],"[(117.76534, 30.95429, 655.8489, 761.4699)]",117.7653427,655.848877,30.95429039,761.4699097,0.752210087
146,1,['cat'],[0.94410324],"[(30.628479, 199.13531, 1074.6111, 821.2492)]",30.628479,1074.611084,199.1353149,821.2492065,0.528457031
147,1,['dog'],[0.8932237],"[(118.3618, 144.65833, 444.2192, 844.31476)]",118.3618011,444.2192078,144.6583252,844.3147583,0.330150463
148,1,['cat'],[0.8469394],"[(0.95734406, 132.86458, 637.00653, 874.31323)]",0.957344055,637.0065308,132.8645782,874.3132324,0.683816551
149,1,['cat'],[0.83145034],"[(427.7329, 547.8459, 918.38135, 1180.0642)]",427.7329102,918.3813477,547.8458862,1180.064209,0.189699097
